MRC Psycholinguistic Database Output
WORD                     NSYL
JUTE                     1
JYNX                     1
KAME                     1
KAND                     1
KANT                     1
KAPP                     1
KARN                     1
KECK                     1
KEEK                     1
KEEL                     1
KEEN                     1
KEEP                     1
KEIR                     1
KELD                     1
KELE                     1
KELL                     1
KELP                     1
KEMB                     1
KEMP                     1
KEPT                     1
KERB                     1
KERF                     1
KERL                     1
KERN                     1
KERS                     1
KHAN                     1
KHUD                     1
KIBE                     1
KICK                     1
KIEF                     1
KIER                     1
KIKE                     1
KILL                     1
KILN                     1
KILT                     1
KIND                     1
KINE                     1
KING                     1
KINK                     1
KIPE                     1
KIRK                     1
KIRN                     1
KISH                     1
KISS                     1
KIST                     1
KITE                     1
KNAB                     1
KNAG                     1
KNAP                     1
KNAR                     1
KNAW                     1
KNEE                     1
KNEW                     1
KNIT                     1
KNOB                     1
KNOP                     1
KNOT                     1
KNOW                     1
KNUB                     1
KNUR                     1
KNUT                     1
KOEL                     1
KOFF                     1
KRIS                     1
KROO                     1
KSAR                     1
KYKE                     1
KYLE                     1
KYTE                     1
LACE                     1
LACK                     1
LADE                     1
LAEN                     1
LAET                     1
LAFT                     1
LAIC                     1
LAID                     1
LAIN                     1
LAIR                     1
LAKE                     1
LAKH                     1
LAMB                     1
LAME                     1
LAMM                     1
LAMP                     1
LAND                     1
LANE                     1
LANG                     1
LANK                     1
LANT                     1
LAPP                     1
LARD                     1
LARE                     1
LARK                     1
LASH                     1
LASK                     1
LASS                     1
LAST                     1
LATE                     1
LATH                     1
LAUD                     1
LAUS                     1
LAVE                     1
LAWK                     1
LAWN                     1
LAZE                     1
LEAD                     1
LEAF                     1
LEAK                     1
LEAL                     1
LEAM                     1
LEAN                     1
LEAP                     1
LEAR                     1
LEAT                     1
LECH                     1
LEDE                     1
LEEF                     1
LEER                     1
LEES                     1
LEET                     1
LEFT                     1
LEGE                     1
LEME                     1
LEND                     1
LENE                     1
LENG                     1
LERE                     1
LESS                     1
LEST                     1
LETT                     1
LEUD                     1
LEVE                     1
LEWD                     1
LIAS                     1
LICE                     1
LICH                     1
LICK                     1
LIEF                     1
LIEN                     1
LIER                     1
LIFT                     1
LIGE                     1
LIKE                     1
LILL                     1
LILT                     1
LIMB                     1
LIME                     1
LIMN                     1
LIMP                     1
LIND                     1
LINE                     1
LING                     1
LINK                     1
LINN                     1
LION                     1
LISP                     1
LISS                     1
LIST                     1
LITE                     1
LITH                     1
LIVE                     1
LOAD                     1
LOAF                     1
LOAM                     1
LOAN                     1
LOBE                     1
LOCH                     1
LOCK                     1
LODE                     1
LOFT                     1
LOGE                     1
LOIN                     1
LOIR                     1
LOKE                     1
LOLL                     1
LOND                     1
LONE                     1
LONG                     1
LOOB                     1
LOOF                     1
LOOK                     1
LOOM                     1
LOON                     1
LOOP                     1
LOOT                     1
LOPE                     1
LORD                     1
LORE                     1
LORN                     1
LOSE                     1
LOSS                     1
LOST                     1
LOTE                     1
LOTH                     1
LOUD                     1
LOUP                     1
LOUT                     1
LOVE                     1
LOWN                     1
LOYN                     1
LUCE                     1
LUES                     1
LUFF                     1
LUGE                     1
LULL                     1
LUMP                     1
LUNE                     1
LUNG                     1
LUNT                     1
LURE                     1
LURG                     1
LURK                     1
LUSH                     1
LUSK                     1
LUST                     1
LUTE                     1
LUXE                     1
LYAM                     1
LYCH                     1
LYNX                     1
LYON                     1
MAAD                     1
MAAT                     1
MACE                     1
MACK                     1
MADE                     1
MAGE                     1
MAID                     1
MAIL                     1
MAIM                     1
MAIN                     1
MAKE                     1
